candidate,window,cost,pair,open_date,close_date,is_short,stake_amount,leverage,open_rate,close_rate,profit_abs,profit_ratio,fee_open,fee_close,funding_fees,exit_reason,trade_duration,initial_stop_loss_ratio,is_open,entry_orders
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-06-11 18:00:00+00:00,2026-06-13 18:00:00+00:00,False,2427.5128,1.0,4156.7,4225.0,36.46076104,0.015009295259142451,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-06-14 22:00:00+00:00,2026-06-16 22:00:00+00:00,False,2437.0608,1.0,4290.6,4336.4,22.5843048,0.009260543210579054,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-06-17 19:00:00+00:00,2026-06-19 19:00:00+00:00,True,2441.01,1.0,4290.0,4159.7,72.5326519,0.029735011459283478,0.0007,0.0007,1.7574674058604172,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-06-22 00:00:00+00:00,2026-06-22 01:00:00+00:00,True,2461.7142,1.0,4144.3,4205.2,-39.6463221,-0.016116450059790063,0.0007,0.0007,0.0,exit_signal,60,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-06-22 01:00:00+00:00,2026-06-23 02:00:00+00:00,False,2451.6316,1.0,4205.2,4168.0,-25.10470292,-0.010232835113014345,0.0007,0.0007,0.0,exit_signal,1500,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-06-23 02:00:00+00:00,2026-06-24 14:00:00+00:00,True,2446.616,1.0,4168.0,4044.1,69.49038677,0.02842254939675062,0.0007,0.0007,0.13543865561795887,exit_signal,2160,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-06-24 14:00:00+00:00,2026-06-26 14:00:00+00:00,False,2462.8569,1.0,4044.1,4079.9,14.80422146,0.006006790631632808,0.0007,0.0007,-3.5347173446861904,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-06-28 23:00:00+00:00,2026-06-30 07:00:00+00:00,True,2467.9956,1.0,4072.6,4036.0,19.52307058,0.007916037736214637,0.0007,0.0007,0.7831386966315304,exit_signal,1920,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-06-30 07:00:00+00:00,2026-07-02 07:00:00+00:00,False,2470.032,1.0,4036.0,4079.2,21.34473719,0.00863543724355478,0.0007,0.0007,-1.6171111347508629,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-07-02 13:00:00+00:00,2026-07-04 13:00:00+00:00,False,2477.2619,1.0,4121.9,4177.1,29.6838107,0.011974126178343444,0.0007,0.0007,0.0,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-07-05 23:00:00+00:00,2026-07-07 19:11:00+00:00,False,2482.256,1.0,4193.0,4109.2,-53.13377416,-0.02139046356839311,0.0007,0.0007,-0.08374247780828178,stop_loss,2651,-0.02,False,1
xau-volatility-15m-1h-risk,early,base,XAU/USDT:USDT,2026-07-08 09:00:00+00:00,2026-07-10 00:00:00+00:00,True,2469.4528,1.0,4061.6,4127.3,-43.28099511,-0.01753883007163384,0.0007,0.0007,0.14980073464621846,force_exit,2340,-0.02,False,1
xau-volatility-15m-1h-risk,late,base,XAU/USDT:USDT,2026-07-12 22:00:00+00:00,2026-07-14 13:00:00+00:00,True,2474.109,1.0,4103.0,4081.6,10.4735903,0.004236243006619435,0.0007,0.0007,1.0241099601890542,exit_signal,2340,-0.02,False,1
xau-volatility-15m-1h-risk,late,base,XAU/USDT:USDT,2026-07-14 13:00:00+00:00,2026-07-16 12:58:00+00:00,False,2477.5312,1.0,4081.6,4000.0,-54.88950652,-0.022139422802215473,0.0007,0.0007,-1.9244346816164308,stop_loss,2878,-0.02,False,1
xau-volatility-15m-1h-risk,late,base,XAU/USDT:USDT,2026-07-16 13:00:00+00:00,2026-07-18 13:00:00+00:00,True,2460.3075,1.0,4000.5,4022.0,-13.49781998,-0.0054900759651185,0.0007,0.0007,3.1783662726932693,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,late,base,XAU/USDT:USDT,2026-07-19 23:00:00+00:00,2026-07-20 01:00:00+00:00,True,2457.2894,1.0,4002.1,4015.1,-11.42779256,-0.004653826129853827,0.0007,0.0007,0.0,exit_signal,120,-0.02,False,1
xau-volatility-15m-1h-risk,late,base,XAU/USDT:USDT,2026-07-20 01:00:00+00:00,2026-07-22 01:00:00+00:00,False,2457.2412,1.0,4015.1,4102.0,48.92189602,0.019895350382268775,0.0007,0.0007,-0.7835383428646432,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,late,base,XAU/USDT:USDT,2026-07-22 02:00:00+00:00,2026-07-24 02:00:00+00:00,False,2467.2284,1.0,4125.8,4050.1,-49.32390466,-0.019977640529164228,0.0007,0.0007,-0.6328729207108753,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,late,base,XAU/USDT:USDT,2026-07-26 22:00:00+00:00,2026-07-27 03:00:00+00:00,False,2456.7018,1.0,4080.9,4099.4,7.68982158,0.003127950844612403,0.0007,0.0007,0.0,exit_signal,300,-0.02,False,1
xau-volatility-15m-1h-risk,late,base,XAU/USDT:USDT,2026-07-27 03:00:00+00:00,2026-07-29 03:00:00+00:00,True,2459.64,1.0,4099.4,4036.5,34.51505715,0.014042394258602868,0.0007,0.0007,0.1921351500443881,research_timeout_48h,2880,-0.02,False,1
xau-volatility-15m-1h-risk,late,base,XAU/USDT:USDT,2026-07-29 19:00:00+00:00,2026-07-29 20:00:00+00:00,False,2466.84,1.0,4111.4,4051.9,-39.128586,-0.015850730144393404,0.0007,0.0007,0.0,exit_signal,60,-0.02,False,1
xau-volatility-15m-1h-risk,late,base,XAU/USDT:USDT,2026-07-29 20:00:00+00:00,2026-07-30 14:00:00+00:00,True,2455.4514,1.0,4051.9,4117.7,-42.87486882,-0.01747332578098516,0.0007,0.0007,0.465475496398738,exit_signal,1080,-0.02,False,1
xau-volatility-15m-1h-risk,late,base,XAU/USDT:USDT,2026-07-30 14:00:00+00:00,2026-07-31 13:40:00+00:00,False,2445.9138,1.0,4117.7,4035.4,-52.56729014,-0.021476847948139546,0.0007,0.0007,-0.2910311646882288,stop_loss,1420,-0.02,False,1
